aaadkrrv: aardvark
aeeilmnry: minelayer
eimnr: miner
aeeiilmnrs: mineralise
adeeiilmnrs: mineralised
aeeiilmnrss: mineralises
aegiiilmnnrs: mineralising
aacegiillmnor: mineralogical
aegiilmnorst: mineralogist
aegiilmnorsst: mineralogists
aegilmnory: mineralogy
aeilmnrs: minerals
'aeilmnrs: mineral's
eimnrs: miners
eeimnnorst: minestrone
eeeeimnprsw: minesweeper
eeeeimnprssw: minesweepers
eeegiimnnpsw: minesweeping
eeikmnorrw: mineworker
eeikmnorrsw: mineworkers
egilmn: mingle
egilmns: mingles
ggiilmnn: mingling
gimny: mingy
iimn: mini
aeiimnrtu: miniature
aeiimnrstu: miniatures
'aeiimnrstu: miniature's
aaiiiimnnorsttu: miniaturisation
aaiiiimnnorssttu: miniaturisations
aeiiimnrstu: miniaturise
adeiiimnrstu: miniaturised
aeiiimnrsstu: miniaturises
agiiiimnnrstu: miniaturising
aiiimnrsttu: miniaturist
aiiimnrssttu: miniaturists
biimnsu: minibus
beiimnssu: minibuses
abciimn: minicab
abciimns: minicabs
aciimnr: minicar
ceiimmnoprtu: minicomputer
ceiimmnoprstu: minicomputers
'ceiimmnoprstu: minicomputer's
deiimnrss: minidress
defiiimn: minified
efiiimns: minifies
fiimny: minify
fgiiimnny: minifying
iimmn: minim
aiimmn: minima
aiilmmn: minimal
aiiilmmmns: minimalism
aiiilmmnst: minimalist
aiiilmmnsst: minimalists
'aiiilmmnsst: minimalist's
aiillmmny: minimally
aiiiimmnnost: minimisation
aiiiimmnnosst: minimisations
'aiiiimmnnosst: minimisation's
eiiimmns: minimise
deiiimmns: minimised
eiiimmnss: minimises
giiiimmnns: minimising
iimmmnu: minimum
iimmmnsu: minimums
giimnn: mining
iimnno: minion
iimnnos: minions
iimns: minis
ceiilmnsu: miniscule
iiikmnrst: miniskirt
eiimnrst: minister
deeiimnrst: ministered
aeiiilmnrst: ministerial
egiiimnnrst: ministering
eiimnrsst: ministers
'eiimnrsst: minister's
aiimnnrstt: ministrant
aiiimnnorstt: ministration
aiiimnnorsstt: ministrations
eiiimnrsst: ministries
iimnrsty: ministry
'iimnrssty: ministry's
ikmn: mink
ikmns: minks
'ikmns: mink's
imnnow: minnow
imnnosw: minnows
'imnnosw: minnow's
imnor: minor
deimnor: minored
eiiimnorst: minorities
iimnorty: minority
'iimnorsty: minority's
imnors: minors
'imnors: minor's
eilmnrst: minstrel
eilmnrsst: minstrels
'eilmnrsst: minstrel's
eilmnrssty: minstrelsy
imnt: mint
aegimnt: mintage,teaming
deimnt: minted
eimnrt: minter
giimnnt: minting
imnst: mints
deimnnu: minuend
deimnnsu: minuends
eimntu: minuet,minute
imnsu: minus
ceilmnsuu: minuscule
eimnssu: minuses
deimntu: minuted
eilmntuy: minutely,untimely
aeimmnntu: minuteman
eeimmnntu: minutemen
eeimnnsstu: minuteness
eimnstu: minutes
aiimntu: minutia
aeiimntu: minutiae
imnx: minx
eimnsx: minxes
aceilmrs: miracles,reclaims
'aceilmrs: miracle's
acilmorsuu: miraculous
acillmorsuuy: miraculously
deimr: mired
eimrs: mires,miser
giimnr: miring,riming
imorrr: mirror
deimorrr: mirrored
giimnorrr: mirroring
imorrrs: mirrors
himrt: mirth
fhilmrtu: mirthful
fhillmrtuy: mirthfully
efhilmnrsstu: mirthfulness
ehilmrsst: mirthless
ehillmrssty: mirthlessly
imry: miry,rimy
addeimrsss: misaddress
adddeeimrsss: misaddressed
adeeimnrstuv: misadventure
adeeimnrsstuv: misadventures
aiimms: misaim
adegiilmns: misaligned,misdealing,misleading
aggiiilmnns: misaligning
aegiilmmnnst: misalignment
aegiilmmnnsst: misalignments
'aegiilmmnnsst: misalignment's
agiilmnss: misaligns
aaceiillmns: misalliance
aaceillmost: misallocate
aacdeillmost: misallocated
aaceillmosst: misallocates
aacgiillmnost: misallocating
aaciillmnoost: misallocation
aehimnoprst: misanthrope
achiimnoprst: misanthropic
aachiillmnoprsty: misanthropically
ahiimnoprsstt: misanthropist
ahiimnoprssstt: misanthropists
ahimnoprsty: misanthropy
aaciiilmnoppst: misapplication
adeiilmpps: misapplied
aeiilmppss: misapplies
ailmppsy: misapply
agiilmnppsy: misapplying
adeehimnpprs: misapprehend
addeeehimnpprs: misapprehended
adeeghiimnnpprs: misapprehending
adeehimnpprss: misapprehends
aeehiimnnopprss: misapprehension
aeehiimnnopprsss: misapprehensions
aaeiimoppprrst: misappropriate
aaeiimoppprrsst: misappropriates
aaiiimnooppprrst: misappropriation
aadegimnrrs: misarranged
abiiimnorstttu: misattribution
beegimnostt: misbegotten
abeehimsv: misbehave
abdeehimsv: misbehaved
abeehimrsv: misbehaver
abeehimssv: misbehaves
abeghiimnsv: misbehaving
beeeiilmsv: misbelieve
beeeiilmrsv: misbeliever
beegiiilmnsv: misbelieving
abdimnrs: misbrand
abddeimnrs: misbranded
abdgiimnnrs: misbranding
abdimnrss: misbrands
aacceillmstu: miscalculate
aaccdeillmstu: miscalculated
aacceillmsstu: miscalculates
aaccgiillmnstu: miscalculating
aacciillmnostu: miscalculation
aacciillmnosstu: miscalculations
'aacciillmnosstu: miscalculation's
acillms: miscall
aacegiimrrs: miscarriage
aacegiimrrss: miscarriages
acdeiimrrs: miscarried
aceiimrrss: miscarries
acimrrsy: miscarry
acgiimnrrsy: miscarrying
acimsst: miscast
acgiimnsst: miscasting
acimssst: miscasts
aceegiimnnost: miscegenation
aceeillmnossu: miscellaneous
aceeilllmnossuy: miscellaneously
aceeiillmnss: miscellanies
aceillmnsy: miscellany
cefhiims: mischief
cehiimossuv: mischievous
cehiilmossuvy: mischievously
ceehiimnossssuv: mischievousness
bciiiilmsty: miscibility
bceiilms: miscible
aaccfiiiilmnossst: misclassification
aaccfiiiilmnosssst: misclassifications
acdefiiilmsss: misclassified
acfiilmsssy: misclassify
acfgiiilmnsssy: misclassifying
cddeimos: miscoded
cdeimoss: miscodes
cdgiimnos: miscoding
acciiimmmnnoostu: miscommunication
ceehiimmnnooprss: miscomprehension
cceeiimnosv: misconceive
ccdeeiimnosv: misconceived
cceeiimnorsv: misconceiver
cceeiimnossv: misconceives
ccegiiimnnosv: misconceiving
cceiimnnoopst: misconception
cceiimnnoopsst: misconceptions
'cceiimnnoopsst: misconception's
ccdimnostu: misconduct
ccdimnosstu: misconducts
cciimnnoorssttu: misconstruction
cciimnnoorsssttu: misconstructions
cdeimnorsstu: misconstrued
ceimnorssstu: misconstrues
cgiimnnorsstu: misconstruing
cimopsy: miscopy
cimnostu: miscount
cdeimnostu: miscounted
cgiimnnostu: miscounting
cimnosstu: miscounts
aceimnrst: miscreant
aceimnrsst: miscreants
ceimsu: miscue
ceimssu: miscues
'ceimssu: miscue's
adeimst: misdate
adeilms: misdeal,mislead
ddeeimss: misdeeds
aadeeimmnnst: misdemeanant
aadeeimmnnsst: misdemeanants
adeeimmnorsu: misdemeanour
adeeimmnorssu: misdemeanours
'adeeimmnorssu: misdemeanour's
cdeiimrst: misdirect
cddeeiimrst: misdirected
cdeiiimnorst: misdirection
cdeiimrsst: misdirects
dgiimnos: misdoing
bdimostu: misdoubt
eilmmopsy: misemploy
eeilmmmnopsty: misemployment
abeilmrsy: miserably
cdeiimorrs: misericord
eeiimrss: miseries
eeiilmnrsss: miserliness
eilmrsy: miserly
eimrss: misers,remiss
eimrsy: misery
'eimrssy: misery's
eeeimmsst: misesteem
aeeiimmsstt: misestimate
aaceefimnss: misfeasance
aefimorss: misfeasor
efiilms: misfile
defiilms: misfiled
fgiiilmns: misfiling
efiimrs: misfire
defiimrs: misfired
efiimrss: misfires
fgiiimnrs: misfiring
fiimst: misfit
fiimsst: misfits
'fiimsst: misfit's
efimnorstu: misfortune
efimnorsstu: misfortunes
'efimnorsstu: misfortune's
aeggimsu: misgauge
adeggimsu: misgauged
aeggimssu: misgauges
agggiimnsu: misgauging
ggiiimnsv: misgiving
ggiiimnssv: misgivings
egimnorsv: misgovern
eegimmnnorstv: misgovernment
acdegiimnsu: misguidance
degiimsu: misguide
ddegiimsu: misguided
ddegiilmsuy: misguidedly
degiimssu: misguides
dggiiimnsu: misguiding
adehilmns: mishandle
addehilmns: mishandled
adehilmnss: mishandles
adghiilmnns: mishandling
ahimps: mishap
ahimpss: mishaps
'ahimpss: mishap's
aehimrs: mishear
ahhimmss: mishmash
acdefiiiiimnnostt: misidentification
ddeefiiiimnst: misidentified
deefiiiimnsst: misidentifies
defiiimnsty: misidentify
defgiiiimnnsty: misidentifying
fiimmnors: misinform
afiiimmnnoorst: misinformation
defiimmnors: misinformed
fgiiimmnnors: misinforming
fiimmnorss: misinforms
eeiimnprrstt: misinterpret
aeeiiimnnoprrsttt: misinterpretation
aeeiiimnnoprrssttt: misinterpretations
deeeiimnprrstt: misinterpreted
eegiiimnnprrstt: misinterpreting
eeiimnprrsstt: misinterprets
degijmsu: misjudge
ddegijmsu: misjudged
deegijmmnstu: misjudgement
degijmssu: misjudges
dggiijmnsu: misjudging
abeillms: mislabel
abdeeilllms: mislabelled
abegiilllmns: mislabelling
adiilms: mislaid
ailmsy: mislay
agiilmnsy: mislaying
ailmssy: mislays
adegiillmnsy: misleadingly
adeilmss: misleads
deilms: misled,slimed,smiled
aaegimmns: mismanage
aadegimmns: mismanaged
aaeegimmmnnst: mismanagement
aaegimmnss: mismanages
aaggiimmnns: mismanaging
achimmst: mismatch
acdehimmst: mismatched
acehimmsst: mismatches
acghiimmnst: mismatching
aeimmns: misname
adeimmns: misnamed
aeimmnss: misnames
agiimmnns: misnaming
eimmnors: misnomer
agiimmosst: misogamist
agiimmossst: misogamists
agimmosy: misogamy
giimnossty: misogynist
cgiiimnossty: misogynistic
giimnosssty: misogynists
'giimnosssty: misogynist's
gimnosyy: misogyny
ceeeiimprsv: misperceive
cdeeeiimprsv: misperceived
ceeeiimprssv: misperceives
ceeiimnopprst: misperception
ceeiimnopprsst: misperceptions
aceilmps: misplace
acdeilmps: misplaced
aceeilmmnpst: misplacement
aceeilmmnpsst: misplacements
aceilmpss: misplaces
acgiilmnps: misplacing
ailmpsy: misplay
iiimnoprss: misprision
iiimnoprsss: misprisions
ceimnnooprsu: mispronounce
cdeimnnooprsu: mispronounced
ceimnnooprssu: mispronounces
cgiimnnnooprsu: mispronouncing
aciiimnnnooprstu: mispronunciation
aiimnooqsttu: misquotation
eimoqstu: misquote
deimoqstu: misquoted
eimoqsstu: misquotes
adegiimnrs: misreading
adeimrss: misreads
ceikmnors: misreckon
adeeilmrst: misrelated
beeeimmmrrs: misremember
egiimnoprrst: misreporting
eeeimnprrsst: misrepresent
aeeeiimnnoprrsstt: misrepresentation
aeeeiimnnoprrssstt: misrepresentations
'aeeeiimnnoprrssstt: misrepresentation's
aeeeeiimnprrssttv: misrepresentative
deeeeimnprrsst: misrepresented
eeegiimnnprrsst: misrepresenting
eeeimnprrssst: misrepresents
eimorstu: misroute,moisture
deimorstu: misrouted
eimorsstu: misroutes,moistures
eilmrsu: misrule
deilmrsu: misruled
eilmrssu: misrules
giilmnrsu: misruling
imss: miss
ailmss: missal
ailmsss: missals
deimss: missed
eimsss: misses
aehimnpss: misshapen
aeehimnnpssss: misshapenness
aehimpsss: misshapes
eiilmss: missile
eiilmrssy: missilery
eiilmsss: missiles
'eiilmsss: missile's
giimnss: missing
iimnoss: mission
aeiiimnorsss: missionaries
aiimnorssy: missionary
'aiimnorsssy: missionary's
iimnosss: missions
eiimssv: missive
eiimsssv: missives
aeikmpss: misspeak
accefiiiimnopsst: misspecification
eillmpss: misspell
deeillmpss: misspelled
egiillmnpss: misspelling
egiillmnpsss: misspellings
eillmpsss: misspells
eilmpsst: misspelt,simplest
deimnpss: misspend
degiimnnpss: misspending
deimnpsss: misspends
aeimsstt: misstate
adeimsstt: misstated
aeeimmnssttt: misstatement
aeeimmnsssttt: misstatements
aeimssstt: misstates
agiimnsstt: misstating
eimpsst: misstep
imsssu: missus
imst: mist
aabeiklmst: mistakable
aeikmst: mistake
aeikmnst: mistaken
aeiklmnsty: mistakenly
aeikmsst: mistakes
agiikmnst: mistaking
eimrsst: misters
eiimrst: mistier
eiimsstt: mistiest
iilmsty: mistily
deiimmst: mistimed
eiimnssst: mistiness
giimnst: misting,smiting,timings
eeilmostt: mistletoe
ikmoost: mistook
ailmrst: mistral
ailmrsst: mistrals
aaeilmnrsstt: mistranslate
aaiilmnnorsstt: mistranslation
aeimrstt: mistreat
adeeimrstt: mistreated
aegiimnrstt: mistreating
aeeimmnrsttt: mistreatment
aeimrsstt: mistreats
eimrssst: mistress
aiilmrst: mistrial
imrssttu: mistrust
deimrssttu: mistrusted
filmrssttuu: mistrustful
fillmrssttuuy: mistrustfully
efilmnrssssttuu: mistrustfulness
giimnrssttu: mistrusting
imrsssttu: mistrusts
imsst: mists
imsty: misty
eimpsty: mistype
deimpsty: mistyped
eimpssty: mistypes
giimnpsty: mistyping
addeimnnrsstu: misunderstand
addegiimnnnrsstu: misunderstanding
addegiimnnnrssstu: misunderstandings
'addegiimnnnrssstu: misunderstanding's
addeimnnrssstu: misunderstands
ddeimnoorsstu: misunderstood
eimssu: misuse
deimssu: misused
eimsssu: misuses
giimnssu: misusing
eiimrstw: miswrite
eiimrsstw: miswrites
giiimnrstw: miswriting
eiimnrsttw: miswritten
aegiimtt: mitigate
adegiimtt: mitigated
aegiimstt: mitigates
aggiiimntt: mitigating
agiiimnott: mitigation
agiiimnostt: mitigations
acdhiimnoort: mitochondria
cdhiimnnooort: mitochondrion
iimosst: mitosis
ciimott: mitotic
deimrt: mitred
giimnrt: mitring
imtt: mitt
eimntt: mitten
eimnstt: mittens,smitten
'eimnstt: mitten's
imstt: mitts
ahimtvz: mitzvah
ahimstvz: mitzvahs
'ahimstvz: mitzvah's
imx: mix
abeilmx: mixable
deimx: mixed
eimrx: mixer,remix
eimrsx: mixers
eimsx: mixes
giimnx: mixing
eimrtux: mixture
eimrstux: mixtures
'eimrstux: mixture's
eimnzz: mizzen
aeimmnstzz: mizzenmast
eilmzz: mizzle
deilmzz: mizzled
eilmszz: mizzles
giilmnzz: mizzling
lm: ml
mm: mm
ceimmnno: mnemonic
aceillmmnnoy: mnemonically
ceimmnnos: mnemonics
'ceimmnnos: mnemonic's
amo: moa
amno: moan
agimnno: moaning
ademot: moated
bmo: mob
abcmop: mobcap
abcmops: mobcaps
beilmo: mobile
beilmos: mobiles
abiiilmnoosst: mobilisations
'abiiilmnoosst: mobilisation's
beiilmos: mobilise
bdeiilmos: mobilised
beiilmoss: mobilises,omissible
bgiiilmnos: mobilising
biilmoty: mobility
bmos: mobs
'bmos: mob's
bemorst: mobster
bemorsst: mobsters
accimnos: moccasin
accimnoss: moccasins
'accimnoss: moccasin's
ckmo: mock
cdekmo: mocked
cekmor: mocker
cekmors: mockers
cekmory: mockery
cgikmno: mocking
bcdgiikmnor: mockingbird
cgiklmnoy: mockingly
ckmos: mocks,smock
dmo: mod
adlmo: modal
adeiilmost: modalities
adilmoty: modality
'adilmosty: modality's
adllmoy: modally
delmo: model
ddeellmo: modelled
deellmor: modeller
deellmors: modellers
degillmno: modelling
delmos: models,seldom
'delmos: model's
demmo: modem
demmos: modems
adeemort: moderate
addeemort: moderated
adeelmorty: moderately
adeeemnorsst: moderateness
adeemorst: moderates
adegimnort: moderating
adeimnoort: moderation
adeimnoorst: moderations
ademoort: moderato
ademoorrt: moderator
ademoorrst: moderators
'ademoorrst: moderator's
demnor: modern
adeiimnnoorst: modernisation
adeiimnnoorsst: modernisations
'adeiimnnoorsst: modernisation's
deeimnors: modernise
deeimnorss: modernises,sermonised
degiimnnors: modernising
deimmnors: modernism
deimnorst: modernist
cdeiimnorst: modernistic
deimnorsst: modernists
deimnorty: modernity
demnors: moderns
demost: modest
delmosty: modestly
demosty: modesty
cdimmou: modicum
abdfiiiilmoty: modifiability
abdefiilmo: modifiable
acdfiiimnoot: modification
acdfiiimnoost: modifications
ddefiimo: modified
defiimor: modifier
defiimors: modifiers
defiimos: modifies
dfimoy: modify
dfgiimnoy: modifying
diillmnoo: modillion
dhimos: modish
dhilmosy: modishly
dehimnosss: modishness
adlmoru: modular
aadiilmnoorstu: modularisation
adeilmorsu: modularise
addeilmorsu: modularised
adeilmorssu: modularises
adgiilmnorsu: modularising
adilmortuy: modularity
adllmoruy: modularly
adelmotu: modulate
addelmotu: modulated
adelmostu: modulates
adgilmnotu: modulating
adilmnootu: modulation
adilmnoostu: modulations
adlmoortu: modulator
adlmoorstu: modulators
'adlmoorstu: modulator's
delmou: module
delmosu: modules
'delmosu: module's
dlmoou: modulo
dlmosuu: modulus
dmosu: modus
glmou: mogul
ahimor: mohair
eeiimost: moieties
eimoty: moiety
giilmno: moiling
éimor: moiré
imost: moist,omits
eimnost: moisten
deeimnost: moistened
eeimnorst: moistener
egiimnnost: moistening
ilmosty: moistly
eimnossst: moistness
eiimorsstu: moisturise
deiimorsstu: moisturised
eiimorrsstu: moisturiser
eiimorrssstu: moisturisers
eiimorssstu: moisturises
giiimnorsstu: moisturising
almor: molar,moral
almors: molars,morals
aelmosss: molasses
elmo: mole
acellmoru: molecular
acelllmoruy: molecularly
ceellmou: molecule
ceellmosu: molecules
'ceellmosu: molecule's
ehilllmo: molehill
elmos: moles
eiklmnos: moleskin
eiklmnoss: moleskins
elmost: molest,motels
aeilmnoostt: molestation
aeilmnoosstt: molestations
deelmost: molested
eelmorst: molester
eelmorsst: molesters
egilmnost: molesting
elmosst: molests
llmo: moll
acfiiillmnoot: mollification
acfiiillmnoost: mollifications
defiillmo: mollified
efiillmos: mollifies
fillmoy: mollify
fgiillmnoy: mollifying
cllmosu: mollusc
cllmossu: molluscs
cddelllmooy: mollycoddle
cdddelllmooy: mollycoddled
cddelllmoosy: mollycoddles
cddgilllmnooy: mollycoddling
elmnot: molten
bdelmmnouy: molybdenum
mmo: mom
emmnot: moment
aeilmmnorty: momentarily
aemmnorty: momentary
emmnoostu: momentous
elmmnoostuy: momentously
eemmnnoossstu: momentousness
emmnost: moments
'emmnost: moment's
emmmnotu: momentum
emmmnostu: momentums
ammmo: momma
mmmoy: mommy
mmos: moms
'mmos: mom's
admno: monad,nomad
acdimno: monadic,nomadic
admnos: monads,nomads
achmnor: monarch
acchimnor: monarchic
aacchilmnor: monarchical
acehimnors: monarchies
achimmnors: monarchism
achimnorst: monarchist
achimnorsst: monarchists
achmnors: monarchs
achmnory: monarchy
'achmnorsy: monarchy's
aeeimnorsst: monasteries
aemnorsty: monastery,oysterman
'aemnorssty: monastery's
acimnost: monastic
aacillmnosty: monastically
aciimmnosst: monasticism
acimmnoot: monatomic
aalmnoru: monaural
aallmnoruy: monaurally
aeimnotz: monazite
aeilmnorty: monetarily
aeimmnorst: monetarism
aeimnorstt: monetarist
aemnorty: monetary
emnoy: money
abegmnosy: moneybags
aceeghmnnory: moneychanger
deemnoy: moneyed
deeelmnnory: moneylender
deeelmnnorsy: moneylenders
deegilmnnnoy: moneylending
eelmnossy: moneyless
aeekmmnory: moneymaker
aegikmmnnoy: moneymaking
emnosy: moneys
'emnosy: money's
egmnor: monger
deegmnor: mongered
eggimnnor: mongering
egmnors: mongers
gilmmnoos: mongolism
dgilmnooo: mongoloid
egmnooos: mongoose
egmnoooss: mongooses
eglmnor: mongrel
eegilmnors: mongrelise
deegilmnors: mongrelised
eegilmnorss: mongrelises
eggiilmnnors: mongrelising
deimno: monied
eimnos: monies
eikmnor: moniker
immnos: monism
ciimnost: monistic
iimnnoot: monition
iimnnoost: monitions
imnoort: monitor
deimnoort: monitored
giimnnoort: monitoring
imnoorst: monitors
imnoorty: monitory
kmno: monk
ekmnoy: monkey
ekmnosy: monkeys
fhikmnos: monkfish
hikmnos: monkish
kmnos: monks
'kmnos: monk's
dhkmnooos: monkshood
mnoo: mono,moon
acdimnoo: monoacid
aeimmnnoo: monoamine
acmnoopr: monocarp
cdhmnooor: monochord
acchimmnooort: monochromatic
aacchillmmnooorty: monochromatically
cehmmnooor: monochrome
cehmmnooors: monochromes
cchimmnooor: monochromic
celmnoo: monocle
cdelmnoo: monocled
celmnoos: monocles
ceilmnnoo: monocline
cciilmnnoo: monoclinic
cemnoooqu: monocoque
accmnoory: monocracy
aclmnooru: monocular
celmnoortuu: monoculture
ccelmnooy: monocycle
cccilmnooy: monocyclic
aadmmnoor: monodrama
dmnooy: monody
eemnoorst: monoester
aefilmmnnoot: monofilament
agimmnoost: monogamist
agimmnoosst: monogamists
agmmnooosu: monogamous
aglmmnooosuy: monogamously
agmmnooy: monogamy
eegimnnooss: monogenesis
ceegimnnoot: monogenetic
agmmnoor: monogram
'agmmnoors: monogram's
aghmnoopr: monograph,phonogram
acghimnoopr: monographic
aghmnooprs: monographs,phonograms
'aghmnooprs: monograph's,phonogram's
gmnnooyy: monogyny
hllmnoou: monohull
bdhimnoory: monohybrid
adehmnoorty: monohydrate
agillmnnoou: monolingual
agillmnnoosu: monolinguals
hilmnoot: monolith
chiilmnoot: monolithic
achiilllmnooty: monolithically
hilmnoost: monoliths
gilmnooost: monologist
gilmnooosst: monologists
eglmnooou: monologue
eglmnooosu: monologues
aaimmnnoo: monomania
aacimmnnoo: monomaniac
emmnoor: monomer
emmnoors: monomers
'emmnoors: monomer's
aceillmmnoot: monometallic
'eemmnoorst: monometer's
ailmmnoo: monomial
acellmmnoooru: monomolecular
acelmnnooru: mononuclear
ceilmnnooossu: mononucleosis
abhimnooop: monophobia
chimnnooop: monophonic
achillmnnooopy: monophonically
hmnnooopy: monophony
aelmnnoop: monoplane
dimmnooopu: monopodium
eilmnooops: monopolies,monopolise
aiilmnnoooopst: monopolisation
aiilmnnoooopsst: monopolisations
'aiilmnnoooopsst: monopolisation's
deilmnooops: monopolised
eilmnooopss: monopolises
giilmnnooops: monopolising
ilmnooopst: monopolist
ciilmnooopst: monopolistic
aciilllmnooopsty: monopolistically
ilmnooopsst: monopolists
lmnooopy: monopoly
'lmnooopsy: monopoly's
aellmnnooopprt: monopropellant
elmnoopsu: monopulse
ailmnoor: monorail
ailmnoors: monorails
'ailmnoors: monorail's
dimmnooosu: monosodium
abcillmnoosy: monosyllabic
aabcillllmnoosyy: monosyllabically
abelllmnoosy: monosyllable
abelllmnoossy: monosyllables
emmmnoorstyy: monosymmetry
acimnnoopsty: monosynaptic
ehimmnoost: monotheism
ehimnoostt: monotheist
cehiimnoostt: monotheistic
imnnoott: monotint
emnnooot: monotone
cimnnooot: monotonic
acillmnnoooty: monotonically
ciimnnoootty: monotonicity
mnnoooostu: monotonous
lmnnoooostuy: monotonously
emnnnoooossstu: monotonousness
mnnoooty: monotony
emnoopty: monotype
cimnoopty: monotypic
aelmnnootv: monovalent
deimnoox: monoxide
eimnorsu: monsieur
gimnnoors: monsignor
mnnooos: monsoon
mnnoooss: monsoons
emnorsst: monsters
'emnorsst: monster's
acemnnorst: monstrance
eiimnoorssstt: monstrosities
imnoorsstty: monstrosity
mnoorsstu: monstrous
lmnoorsstuy: monstrously
emnnoorsssstu: monstrousness
hmnot: month
ehilmnost: monthlies
hlmnoty: monthly
hmnost: months
'hmnost: month's
ceilmnotu: monticule
emmnnotu: monument
aelmmnnotu: monumental
aeeilmmnnostu: monumentalise
adeeilmmnnostu: monumentalised
aeeilmmnnosstu: monumentalises
aegiilmmnnnostu: monumentalising
aeilmmnnottuy: monumentality
aellmmnnotuy: monumentally
emmnnostu: monuments
'emmnnostu: monument's
moo: moo
cehmoor: moocher
cehmoos: mooches
cghimnoo: mooching
deimoor: moodier
dilmooy: moodily
deimnooss: moodiness
'dmoos: mood's
dmooy: moody
demoo: mooed
abemmnoo: moonbeam
abemmnoos: moonbeams
'abemmnoos: moonbeam's
acflmnoo: mooncalf
demnoo: mooned
eemnooy: mooneye
fhimnoos: moonfish
eflmnooorw: moonflower
gimnnoo: mooning
elmnooss: moonless
elmnoot: moonlet
ghilmnoot: moonlight
deghilmnoot: moonlighted
eghilmnoort: moonlighter
gghiilmnnoot: moonlighting
ghilmnoost: moonlights
ilmnoot: moonlit
aekmnooqu: moonquake
eimnoors: moonrise
mnoos: moons
acemnoops: moonscape
deemnoos: moonseed
emnoost: moonset
ehimnnoos: moonshine
emnnooost: moonstone
ckmnoorstu: moonstruck
admnoorw: moonward
mnooy: moony
moor: moor,room
aegmoor: moorage
demoor: moored,roomed
flmooorw: moorfowl
gimnoor: mooring,rooming
gimnoors: moorings
moors: moors,rooms
'moors: moor's
moos: moos
emoos: moose
moot: moot
demoot: mooted
mop: mop
abdmoopr: mopboard
emop: mope,poem
demop: moped
emops: mopes,poems
gimnop: moping
demopp: mopped
emoppt: moppet
gimnopp: mopping
mops: mops
aeimnor: moraine,romaine
aelmor: morale
aaiilmnoorst: moralisation
aaiilmnoorsst: moralisations
'aaiilmnoorsst: moralisation's
aeilmors: moralise
adeilmors: moralised
aeilmorrs: moraliser
aeilmorrss: moralisers
aeilmorss: moralises
agiilmnors: moralising
ailmorst: moralist
aciilmorst: moralistic
aaciilllmorsty: moralistically
aeiilmorst: moralities
ailmorty: morality
allmory: morally
'almors: moral's
amorss: morass
aemorsss: morasses
aimmoorrtu: moratorium
aimmoorrstu: moratoriums
bdimor: morbid
bdiimorty: morbidity
bdilmory: morbidly
acdimoorsu: mordacious
acdimorty: mordacity
adlmnorty: mordantly
demnort: mordent
emor: more
elmor: morel
eemoorrv: moreover
emors: mores
aacgimnort: morganatic
egmoru: morgue
egmorsu: morgues
bdimnoru: moribund
mnor: morn,norm
gimnnor: morning
gimnnors: mornings
ccmooor: morocco
mnoor: moron
cimnoor: moronic,omicron
acillmnoory: moronically
emoors: morose
elmoorsy: morosely
eemnoorsss: moroseness
hmopr: morph
eehmmopr: morpheme
cehimmopr: morphemic
ehimnopr: morphine
cghilmooopr: morphologic
acghillmooopr: morphological
acghilllmooopry: morphologically
ghlmooopry: morphology
cehhimmnoooppr: morphophonemic
cehhimmnooopprs: morphophonemics
moorrw: morrow
elmors: morsel
elmorss: morsels
'elmorss: morsel's
mort: mort
almort: mortal
ailmortty: mortality
allmorty: mortally
almorst: mortals
amorrt: mortar
aabdmoorrrt: mortarboard
ademorrt: mortared
agimnorrt: mortaring
amorrst: mortars
emmort: mortem
aeggmort: mortgage
adeggmort: mortgaged
aeggmorrt: mortgager
aeggmorst: mortgages
'aeggmorst: mortgage's
agggimnort: mortgaging
aggmoorrt: mortgagor
aggmoorrst: mortgagors
aciimnort: mortician
aciimnorst: morticians
acfiiimnoortt: mortification
acfiiimnoorstt: mortifications
defiimort: mortified
efiimorst: mortifies
fimorty: mortify
fgiimnorty: mortifying
eimorst: mortise
giimnorst: mortising
aeimorrstu: mortuaries
amorrtuy: mortuary
'amorrstuy: mortuary's
acimos: mosaic
acimoss: mosaics
'acimoss: mosaic's
emosy: mosey
deemosy: moseyed
egimnosy: moseying
emoqsu: mosque
emoqssu: mosques
imooqstu: mosquito
eimooqsstu: mosquitoes
moss: moss
abckmoss: mossback
bekmnorssu: mossbunker
emosss: mosses
'mosss: moss's
mossy: mossy
most: most,toms
lmosty: mostly
mot: mot,tom
emot: mote,tome
elmot: motel
'elmost: motel's
emott: motet,motte,totem
hmot: moth
abhllmot: mothball
ehmort: mother,thermo
abdehmoorrt: motherboard
abdehmoorrst: motherboards
'abdehmoorrst: motherboard's
deehmort: mothered
dehhmooort: motherhood
eghimnort: mothering
adehlmnort: motherland
eehlmorsst: motherless
eehilmnorsst: motherliness
ehlmorty: motherly
ehmorst: mothers,smother,thermos
'ehmorst: mother's
fhmoooprt: mothproof
hmost: moths
fimot: motif
fimost: motifs
'fimost: motif's
eilmot: motile
iilmotty: motility
imnoot: motion
ailmnoot: motional
giimnnoot: motioning
eilmnoosst: motionless
eillmnoossty: motionlessly
eeilmnnoosssst: motionlessness
imnoost: motions
aeimottv: motivate
adeimottv: motivated
